cell,predict_cell,step
PAT20(ESO)_AD377,PAT20(ESO)_E_374,1
PAT20(ESO)_AD378,PAT20(ESO)_E_183,1
PAT20(ESO)_AD379,PAT20(ESO)_E_100,1
PAT20(ESO)_AD381,PAT9(NDBE)_J_169,1
PAT20(ESO)_AD382,PAT20(ESO)_E_174,1
PAT20(ESO)_AD383,PAT20(ESO)_E_357,1
PAT9(NDBE)_BL003,PAT6(HGD)_I_194,1
PAT9(NDBE)_BL008,PAT14(NDBE)_D_108,1
PAT9(NDBE)_BL009,PAT19(LGD)_B_311,1
PAT9(NDBE)_BL010,PAT16(NDBE)_B_98,1
PAT9(NDBE)_BL015,PAT19(LGD)_B_236,1
PAT9(NDBE)_BL017,PAT19(LGD)_B_67,1
PAT9(NDBE)_BL018,PAT9(NDBE)_J_305,1
PAT9(NDBE)_BL020,PAT16(NDBE)_B_128,1
PAT9(NDBE)_BL023,PAT19(LGD)_B_356,1
PAT9(NDBE)_BL028,PAT20(CARD)_F_323,1
PAT9(NDBE)_BL030,PAT20(HGD1)_D_129,1
PAT9(NDBE)_BL033,PAT20(ESO)_E_172,1
PAT9(NDBE)_BL034,PAT20(CARD)_F_340,1
PAT9(NDBE)_BL035,PAT6(LGD)_H_377,1
PAT9(NDBE)_BL042,PAT16(NDBE)_B_222,1
PAT9(NDBE)_BL043,PAT16(NDBE)_B_189,1
PAT9(NDBE)_BL051,PAT14(NDBE)_D_379,1
PAT9(NDBE)_BL052,PAT9(NDBE)_J_227,1
PAT9(NDBE)_BL054,PAT20(CARD)_F_89,1
PAT9(NDBE)_BL057,PAT9(NDBE)_J_375,1
PAT9(NDBE)_BL058,PAT20(ESO)_E_219,1
PAT9(NDBE)_BL061,PAT20(HGD1)_D_329,1
PAT9(NDBE)_BL063,PAT9(NDBE)_J_289,1
PAT9(NDBE)_BL065,PAT20(CARD)_F_149,1
PAT9(NDBE)_BL066,PAT20(CARD)_F_222,1
PAT9(NDBE)_BL068,PAT16(EAC)_A_25,1
PAT9(NDBE)_BL070,PAT16(EAC)_A_283,1
PAT9(NDBE)_BL071,PAT14(NDBE)_D_194,1
